,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Arbutus Ridge,49.245787040365975,-123.16077180782031,The Patty Shop,49.250680286551926,-123.16791618888072,Caribbean Restaurant
1,Arbutus Ridge,49.245787040365975,-123.16077180782031,Butter Baked Goods,49.242209327685536,-123.17038089631828,Bakery
2,Arbutus Ridge,49.245787040365975,-123.16077180782031,The Arbutus Club,49.24850716362166,-123.15215193077867,Event Space
3,Arbutus Ridge,49.245787040365975,-123.16077180782031,Quilchena Park,49.24519378222783,-123.15121143638962,Park
4,Arbutus Ridge,49.245787040365975,-123.16077180782031,La Buca,49.25054949418862,-123.16793319878863,Italian Restaurant
5,Arbutus Ridge,49.245787040365975,-123.16077180782031,White Spot,49.23763447335214,-123.15546667190972,Burger Joint
6,Arbutus Ridge,49.245787040365975,-123.16077180782031,Starbucks,49.24476762328613,-123.15389126943143,Coffee Shop
7,Arbutus Ridge,49.245787040365975,-123.16077180782031,Subway,49.244558336641234,-123.15397490622523,Sandwich Place
8,Arbutus Ridge,49.245787040365975,-123.16077180782031,Dollarama,49.24888489703194,-123.15404872082745,Discount Store
9,Arbutus Ridge,49.245787040365975,-123.16077180782031,Wakwak Burger,49.252430278119675,-123.15995440067987,Food Truck
10,Arbutus Ridge,49.245787040365975,-123.16077180782031,7-Eleven,49.23842033767125,-123.1559388022502,Convenience Store
11,Arbutus Ridge,49.245787040365975,-123.16077180782031,Safeway,49.248639,-123.154741,Supermarket
12,Arbutus Ridge,49.245787040365975,-123.16077180782031,A&W,49.248755996302236,-123.15412435157693,Fast Food Restaurant
13,Arbutus Ridge,49.245787040365975,-123.16077180782031,Van Den Bosch Bakery,49.248936296327834,-123.1541304838941,Bakery
14,Arbutus Ridge,49.245787040365975,-123.16077180782031,Arbutus Club Gymnasium,49.24823712261379,-123.15261949306645,Basketball Court
15,Arbutus Ridge,49.245787040365975,-123.16077180782031,Tachia Bakery & Deli,49.249781,-123.167872,Bakery
16,Arbutus Ridge,49.245787040365975,-123.16077180782031,Arbutus Club Bistro,49.24855246026496,-123.15222920964162,Burger Joint
17,Arbutus Ridge,49.245787040365975,-123.16077180782031,Barktholomews Pet Supplies,49.24274622156807,-123.17019281603234,Pet Store
18,Arbutus Ridge,49.245787040365975,-123.16077180782031,Magic Box Hobbies,49.238527,-123.155476,Hobby Shop
19,Arbutus Ridge,49.245787040365975,-123.16077180782031,Comebuy,49.238042,-123.155616,Bubble Tea Shop
20,Arbutus Ridge,49.245787040365975,-123.16077180782031,Sushi King House,49.23773908677557,-123.15545797701616,Sushi Restaurant
21,Central Business District,49.28124785281073,-123.11484604569023,Gotham Steakhouse & Cocktail Bar,49.28283023000359,-123.11586538996016,Steakhouse
22,Central Business District,49.28124785281073,-123.11484604569023,Medina Café,49.28056540642322,-123.11685919761656,Breakfast Spot
23,Central Business District,49.28124785281073,-123.11484604569023,L'Hermitage,49.2801392339119,-123.11748032945334,Hotel
24,Central Business District,49.28124785281073,-123.11484604569023,JJ Bean,49.27938179808702,-123.11518086597503,Coffee Shop
25,Central Business District,49.28124785281073,-123.11484604569023,Queen Elizabeth Theatre,49.280228950296475,-123.11273011968323,Theater
26,Central Business District,49.28124785281073,-123.11484604569023,Finch’s Tea & Coffee House,49.28272404338896,-123.11194051344484,Sandwich Place
27,Central Business District,49.28124785281073,-123.11484604569023,Kokoro Tokyo Mazesoba,49.28339141050529,-123.11516030750509,Noodle House
28,Central Business District,49.28124785281073,-123.11484604569023,The Keg Steakhouse + Bar - Dunsmuir,49.28343784084837,-123.11636252876394,Restaurant
29,Central Business District,49.28124785281073,-123.11484604569023,Abercrombie & Fitch,49.282273835204236,-123.11868545380594,Clothing Store
30,Central Business District,49.28124785281073,-123.11484604569023,Nespresso Boutique at The Bay,49.28263723763167,-123.11765541662233,Coffee Shop
31,Central Business District,49.28124785281073,-123.11484604569023,Rosewood Hotel Georgia,49.28342914255638,-123.1189107326352,Hotel
